Abatron
CidalEaze Cream
Cimduo
Cipro
Cipro XR
Citracal + D
CitraNatal 90 DHA
CitraNatal Assure
CitraNatal Bloom
CitraNatal DHA
Citrate of Magnesia
Citroma
Citrucel
Claravis
Clarinex
Claritin
Claritin-D 12 Hour
Claritin-D 24 Hour
Clenpiq
Clobex Lotion
Clobex Shampoo
Clodan Shampoo
Clozaril
Coartem
Coditussin AC
Coditussin DAC
Colace
Colazal
Colcrys
Colestid
Combivir
Cometriq
Compazine
Complera
Complete Allergy
Comtan
Concept DHA
Concept OB
Concerta
Conex
Congestion Relief
Constulose
Contrave
ConZip
Copegus
Copiktra
Coreg
Coreg CR
CoreMino
Corgard
Corlanor
Correctol
Cortane-B Lotion
Cortef
Cortisporin Cream
Cortisporin Ointment
Corzide
Cosamin DS
Cotellic
Cotempla XR-ODT
Coumadin
Covaryx
Co-Veratrol
Cozaar
Creomulsion
Creon
Cresemba
Crestor
Crixivan
Crotan Lotion
Cryselle
Culturelle Immune Defense
Cuprimine
Cushings Syndrome Diagnostic
Cutivate Cream
Cuvposa
Cyclessa
Cycloset
CyFolex
Cymbalta
Cyred
Cyred EQ
Cystagon
Cytomel
Cytotec
Cytotine
Cytra-2
Cytra-3
Daklinza
Daliresp
Dallergy Drops
Dantrium
Daraprim
Daurismo
Daxbia
Daypro
Daysee
Daytime
DDAVP
Ddrops
Deblitane
Decara
Deconex DMX
Deconex IR
Delstrigo
Delsym
Delta D3
Deltasone
Deltuss DMX
Deltuss DP
Delyla
Delzicol
Demadex
Demerol
Demser
Denovo
Depakene
Depakote
Depakote ER
Depen
Dermatop Cream
Dermatop Ointment
DermaZinc Shampoo
Descovy
Desgen
Desogen
Desoxyn
Detrol
Detrol LA
Dewee's Carminative
Dexamethasone Intensol
Dexilant
DexPak
DHS Tar Shampoo
Diabetic Siltussin DAS-Na
Diabetic Tussin EX
Dialyvite 5000
Dialyvite Supreme D
Diamode
Diamox Sequels
Dibenzyline
Diclegis
Diff-Stat
Dificid
Diflucan
Digestive Health Probiotic
Digitek
Digox
Dilantin
Dilantin-125
Dilatrate-SR
Dilaudid
Dimaphen DM
Dimetapp
Dino-Life
Dino-Life
Diocto
Diotame
Diovan
Diovan HCT
Dipentum
Diphedryl
Diphenhist
Disalcid
Diskets
Ditropan XL
Diuril
Doc-Q-Lace
Doc-Q-Lax
Docuzen
DOK
Dologen
Donatussin
Donnatal
Doptelet
Doptelet
Doryx
Doryx MPC
Dovonex Cream
Dramamine
Dramamine Less Drowsy
Driminate
Drisdol
Dristan Cold
Droxia
Dry Eye Omega Benefits
Dual Action Complete
Duavee
Duet DHA 400
Duet DHA Balanced
Duexis
Dulcolax
Dulcolax Stool Softener
Duo Fusion
Duraflu
Duravent DM
Duravent PE
Durlaza
Dutoprol
Duzallo
Dvorah
Dyanavel XR
Dyazide
DyNAmic Kit
Dyrenium
EC-Naprosyn
EContra EZ
Ecotrin
Ecoza Foam
Ed A-Hist
Ed A-Hist DM
Edarbi
Edarbyclor
Ed-Chlortan
Edecrin
Ed-Spaz
Edurant
EEMT
Effer-K
Effexor XR
Effient
Eha Lotion
Elfolate
Elinest
Eliphos
Eliquis
Elixophyllin
Ella
Ellura
Elmiron
Elocon Cream
Embeda
Emcyt
Emend
Emetrol
Emflaza
Emoquette
Emtriva
Emulsion SB
Emverm
Enablex
EnBrace HR
Endocet
Enfamil Enfalyte
Enpresse
Enskyce
Entereg
Entex T
Entocort EC
Entresto
Enulose
Envarsus XR
Epaned
Epclusa
Epidiolex
Epitol
Epivir
Epivir HBV
Epsom Salt
Epzicom
Equalactin
Equetro
Erivedge
Errin
EryPed 200
Ery-Tab
Esbriet
Escavite
Escavite D
Escavite LQ
Esgic
Esomep-EZS
Estarylla
Ester-C
Estrace
Euthyrox
Evekeo
Evening Primrose
Evista
Evotaz
Evoxac
Exalgo
Excedrin Tension Headache
Exforge
Exforge HCT
Exjade
Ex-Lax
Eye Drops
EZFE 200
FA-8
FaBB
Fabior Foam
Factive
Fallback Solo
Falmina
Famvir
Fanapt
Fareston
Farxiga
Farydak
Fayosim
Felbatol
Feldene
Femara
Fem-Cal Citrate
Femcon Fe
Femhrt
Femynor
Fenesin DM IR
Fenesin IR
Fenoglide
Fenortho
Feosol
Ferate
Fergon
Fer-Iron
FeRiva
Ferocon
FeroSul
Ferralet 90
FerraPlus 90
Ferretts
Ferrex 150 Forte
Ferrex 150 Forte Plus
Ferrex 28
Ferriprox
Ferrocite
Ferrocite Plus
Ferro-Sequels
Fetzima
Fexmid
Fiber Laxative
FiberCon
Fibricor
Finacea Foam
Fioricet
Fiorinal
Firdapse
Firvanq
Flagyl
Flanax
Flanax
Flintstones Complete
Flintstones Gummies
Flintstones Plus Calcium
Flomax
Florajen
Florajen3
Florajen4Kids
Floranex
Florastor
Floriva
Floriva Plus
Floriva Plus
Flowtuss
Flumadine
Fluorabon
Fluoritab
Flura-Drops
Focalin
Focalin XR
Folbee
Folbic
Folbic RF
Folet One
Folivane-Plus
Follistim AQ Cartridge
Folplex 2.2
Foltabs 800
Foltanx
Foltanx RF
Foltrate
Forfivo XL
Formula EM
Fortamet
Fosamax
Fosamax Plus D
Fosrenol
Fosteum
Freedavite
Frova
Furadantin
Fusion
Fyavolv
Fycompa
Gabitril
Galafold
Galzin
Garcinia Cambogia
Gastrocrom
Gastrografin
GaviLyte-G
GaviLyte-H and Bisacodyl
GaviLyte-N
Gelusil
Gencontuss
Generlac
Gengraf
Genicin
Genicin Vita-Q
Genvoya
Geodon
Geritol Complete
Gialax
Gianvi
Giazo
Gildagia
Gilenya
Gilotrif
Gilphex TR
Gleevec
Glenmax PEB DM
Gleolan
Gleostine
Glucophage
Glucophage XR
Glucoten
Glucotrol
Glucotrol XL
Glucovance
Glumetza
Glutol
Glycate
Glynase
Glyset
Glyxambi
Gocovri
Gralise
Gris-PEG
Guaiatussin AC
Guaifenesin DAC
Guarana
Hailey 24 Fe
Halcion
Halog Cream
Harvoni
Headache Relief PM
Heartburn Relief
Heather
Hectorol
Hemangeol
Hematogen Forte
Hemax
HemeNatal OB
HemeTab
Hemocyte
Hemocyte-F
Hepsera
Hetlioz
Hexalen
Hiprex
HistaFlex
Histex
Histex PD
Histex-AC
Homocysteine Formula
Honey Bears
Honey Bears
Horizant
Hyaluronic Acid
Hycamtin
Hycofenix
Hydrea
Hydro 35 Foam
Hydromet
Hyophen
Hyosyne
Hyosyne Elixir
Hysingla ER
Hyzaar
Ibrance
Ibudone
Ibuprofen PM
Icar
Icar-C
Iclusig
Idhifa
Iluvien Implant
Imbruvica
Imitrex
Imodium A-D
Imodium Multi-Symptom Relief
Impavido
Imuran
Incassia
Inderal LA
Inderal XL
Indocin
Ingrezza
Inlyta
InnoPran XL
Inspra
Insta-Glucose
Integra F
Integra Plus
Intelence
Intestinex
Introvale
Intuniv
Invega
Invirase
Invokamet
Invokamet XR
Invokana
Irenka
Iressa
Iron 21/7
Iron Chews
Isentress
Isentress HD
Isibloom
Isordil
Isordil Titradose
Jadenu
Jadenu Sprinkle
Jakafi
Jalyn
Jantoven
Janumet
Janumet XR
Januvia
Jardiance
Jasmiel
Jencycla
Jentadueto
Jentadueto XR
Jevantique Lo
Jinteli
Jolessa
Jolivette
Juleber
Juluca
Junel
Junel Fe 24
Juxtapid
Jynarque
Kadian
Kaletra
Kalydeco
Kaopectate
Kapspargo Sprinkle
Kapvay
Karbinal ER
Kariva
Kazano
Keflex
Keppra
Keppra XR
Ketek
Keveyis
Khedezla
Kimidess
Kionex
Kisqali
Kisqali Femara Co-Pack
Klonopin
Klor-Con
Klor-Con Sprinkle
Kombiglyze XR
Kondremul
Konsyl Fiber
Korlym
Krill Oil
Krintafel
Kristalose
Kurvelo
Kuvan
Lactic Acid Cream
Lactinex
Lacto-Pectin
Lamictal
Lamictal ODT
Lamictal XR
Lamisil AT Cream
Lamisil AT Gel
Lanoxin
Larin 24 Fe
Larissia
Lasix
Latuda
Laxacin
Laxative
Layolis Fe
Leena
Lenvima
Lescol
Lescol XL
Lessina
Letairis
Leukeran
Levaquin
Levitra
Levonest
Levo-T
Levoxyl
Levsin
Lexapro
Lexette Foam
Lexiva
Lialda
Librax
Lido-K Lotion
Lidopin Cream
Lidovex Cream
Lidozion Lotion
Lillow
Limbrel
Limbrel250
Limbrel500
Linzess
Lipitor
Lipofen
Liquid Polibar Plus
Liquigen
Liquivida Hydration Kit
Lithobid
Lithostat
Livalo
Lo Loestrin Fe
Locoid Cream
Lodine
Lodosyn
Lodrane D
Loestrin
Lofibra
LoHist-DM
Lomaira
Lomedia 24 Fe
Lomotil
Lonsurf
Lopid
Lopreeza
Lopressor
Lopressor HCT
Loprox Cream
Lorazepam Intensol
Lorbrena
Lorcet
Lorcet Plus
Lortab
Lortuss DM
Lortuss EX
Lortuss LQ
Loryna
Lorzone
LoSeasonique
Lotensin
Lotensin HCT
Lotrel
Lotrimin AF Cream
Lotronex
Lovaza
Low-Ogestrel
Lucemyra
Lumitene
Lunesta
Lutera
Luzu Cream
Lynparza
Lyrica
Lyrica CR
Lysodren
Lysteda
Lyza
Macrilen
Macrobid
Macrodantin
Macuvex
Macuzin
Mag-G
Maginex
MagneBind 400 RX
Malarone
Mapap
Mapap Arthritis Pain
Mapap Cold Formula
Mapap PM
Marinol
Marlissa
Marnatal-F
Marplan
Marten-Tab
Matulane
Matzim LA
Mavik
Mavyret
Maxalt
Maxichlor PEH DM
Maxifed
Maxzide
MCT Oil
MD-Gastroview
Medicidin-D
Medi-Laxx
Medi-Lyte
Medi-Seltzer
Medrol
Megace
Megace ES
MegaKrill
Mekinist
Mektovi
Melodetta 24 Fe
Melpaque HP Cream
Menest
Mephyton
Mepron
Mesnex
Mestinon
Metadate CD
Metadate ER
Metafolbic
Metafolbic Plus
Metafolbic Plus RF
Metanx
Metaxall
Methadose
Methaver
Methazel
Methergine
Methitest
Methylin
MeTopic Cream
Metopirone
Mi-Acid
Mibelas 24 Fe
Micardis
Micardis HCT
Microgestin
Microlipid
Microzide
Midol
Midol Complete
Midol PM
Mifeprex
Mili
Millipred
Millipred DP
Mimvey
Minastrin 24 Fe
Mineral Oil
Mineral Oil Enema
Mineral Oil Light
Minipress
Minocin
Mintox
Mintox Plus
Mirapex
Mirapex ER
Mircette
Mitigare
Mobic
Moderiba
Monocaps
Monodox
Mono-Linyah
Mononessa
Monurol
Morgidox
MorphaBond ER
Motegrity
Motion Sickness Relief
Motofen
Motrin IB
Motrin PM
Movantik
Moxatag
MS Contin
MTX Support
Mucinex
Mucinex D
Mucinex DM
Mucinex Fast-Max Severe Cold
Mucinex Sinus-Max
Mucus Relief
Mulpleta
Multaq
Multigen
Multigen Folic
Multigen Plus
My Choice
My Way
Myambutol
Mycobutin
Mydayis
Myferon 150
Myfortic
Myleran
Myorisan
Myrbetriq
Mysoline
Mytab Gas
Mytesi
Myzilra
NAC
Nalfon
Nalocet
Namenda
Namenda XR
Namzaric
Naprelan
Naprosyn
Nardil
NataChew
Natazia
Natelle One
Nature-Throid
Necon
Neo-Polycin HC Ointment
Neo-Polycin Ointment
Neo-Synalar Cream
Nephrocaps
Nephronex
Neptazane
Nerlynx
Nesina
Nestabs ABC
Neuac Gel
Neurontin
New Day
Nexa Plus
Nexafed
Nexavar
Nexium
Next Choice One Dose
Niacin
Niacin Flush Free
Niacor
Niaspan
Nicadan
NicAzel Forte
Nicomide
Niferex
Nikki
Nilandron
Ninjacof
Ninjacof-XG
Ninlaro
Nitro-Time
Nityr
Niva-Hist DM
Niva-Plus
Nodolor
Nolix Cream
Norco
Norel AD
Norlyda
Norlyroc
Norpace
Norpace CR
Norpramin
Northera
Norvasc
Norvir
NovaFerrum 50
NovaFerrum Pediatric
Noxafil
NP Thyroid
Nucynta
Nucynta ER
Nuedexta
NuFera
Nu-Iron 150
NuLev
NuLYTELY with Flavor Packs
Nu-Mag
Nuplazid
Nutrivit
Nuvigil
Nuzyra
Nuzyra
Nuzyra
Nymalize
OB Complete Gold
OB Complete One
OB Complete Petite
OB Complete Premier
Obredon
Ocaliva
Ocella
Ocuvel
Odefsey
Odomzo
Ofev
Ogestrel
Olumiant
Olysio
Omeclamox-Pak
Omnipaque
Onexton Gel
Onfi
Onglyza
Onmel
Opana
Opana ER
Opcicon One-Step
Opsumit
OptiFlex-C
Option 2
Orabase Paste
Oracea
Oracit
Orap
Orapred ODT
Orazinc
Orfadin
Orilissa
Orkambi
Orsythia
Ortho Micronor
Ortho Tri-Cyclen
Ortho-Cyclen
Ortho-Novum
Oseni
Osmolex ER
OsmoPrep
Osphena
Osteo Bi-Flex
Otezla
Ovace Plus Cream
Ovace Plus Foam
Ovace Plus Shampoo
Oxandrin
Oxaydo
Oxtellar XR
Oystercal-D
Pacerone
Pain Reliever Plus
Pamelor
Pamprin Max
Pamprin Multi-Symptom
Panatuss PED
Panatuss PED Drops
Pancreaze
Parafon Forte DSC
Parlodel
Parnate
Paser
Paxil
Paxil CR
PCE
Pedia Relief Cough-Cold
Pedia-Lax
Pediapred
Peganone
Pentasa
Pepcid
Pepcid AC
Pepcid Complete
Peptic Relief
Pepto-Bismol
Percocet
Percogesic Extra Strength
Peridin-C
Pertzye
Pexeva
Phazyme
Phenagil
Phenohytro
Phenylhistine DH
Phenytek
Philith
Phoslyra
Phospha 250 Neutral
Phosphasal
Pifeltro
Pimtrea
Pink Bismuth
Pin-X
Plan B One-Step
Plaquenil
Plavix
Plexion Cleanser
Plexion Lotion
Polycin Ointment
Poly-Tussin AC
Poly-Vent IR
Poly-Vi-Flor
Poly-Vi-Flor with Iron
Poly-Vi-Sol
Poly-Vi-Sol with Iron
Pomalyst
Ponstel
Portia
Potaba
Potiga
PR Cream
PR Natal 400
PR Natal 400 EC
PR Natal 430
PR Natal 430 EC
Pradaxa
Pramosone Cream
Pramosone E Cream
Prandin
Pravachol
Precose
Prednisone Intensol
Prefest
Premarin
Premphase
Prempro
Premsyn PMS
Prena1 True
Prenaissance
Prenaissance Plus
PreNata
Prenatabs FA
Prenatabs Rx
Prenatal 19
Prenatal DHA
Prenatal One Daily
Prenatal Plus
Prenate AM
Prenate Chewable
Prenate DHA
Prenate Elite
Prenate Enhance
Prenate Mini
Prenate Pixie
Prenate Restore
Prenate Star
PreserVision AREDS
PreserVision Lutein
Prestalia
Prevacid
PreviDent Gel
Previfem
Prevpac
Prevymis
Prezcobix
Prezista
Priftin
Prilosec
Prilosec OTC
PrimaCare
Primatene Asthma
Primlev
Prinivil
Pristiq
Probiotic Formula
Procardia
Procardia XL
Pro-C-Dure 5 Kit
Pro-C-Dure 6 Kit
ProCentra
Proctocort Cream
Procysbi
Prodigen
Prodrin
ProFeno
Proglycem
Prograf
Promacta
Promethazine VC
Prometrium
Propecia
Pro-Red AC
Proscar
Prosteon
Protonix
Provella
Provera
Provida DHA
Provigil
Prozac
Prozac Weekly
Puralor Ci
PureFe Plus
PureVit DualFe Plus
Purixan
Pylera
Pyridium
Qbrelis
Qsymia
Qtern
Qualaquin
Quartette
Quasense
Qudexy XR
Quflora
Quflora
Quflora FE
Quflora FE
QuilliChew ER
Quillivant XR
Quinja Gel
Quintabs
Quintabs-M
Rabano Yodado
Radiogardase
Rajani
Ranexa
Rapaflo
Rapamune
Rayaldee
Rayos
Razadyne
Razadyne ER
Readi-Cat 2
Reclipsen
Rectiv Ointment
Regimex
Reglan
Reguloid
Relagesic
Relexxii
Relistor
Relpax
Remeron
Renagel
Renal Caps
Renova Cream
RepHresh Pro-B
Replesta
Replesta NX
Reprexain
Requip
Requip XL
Rescon
Rescon-DM
Rescon-GG
Rescriptor
Respaire-30
Restora
Restoril
Retrovir
Revatio
Revlimid
Rexulti
Reyataz
Rezira
Rhofade Cream
Ribasphere
Ridaura
Rifadin
Rifamate
Rifater
Rilutek
Riomet
Risa-Bid
Risperdal
Ritalin
Ritalin LA
Rivelsa
Robafen
Robafen Cough
Robaxin
Robaxin-750
Robinul
Robinul Forte
Robitussin
Robitussin Nighttime Cough DM
Rocaltrol
Rolaids
Rosadan Cream
Rosanil Cleanser
Rotarix
Roweepra
Roweepra XR
Roxicodone
Rozerem
Rubraca
Rulox
Rydapt
Rydex
Rynex DM
Rynex PE
Rytary
Rythmol SR
Sabril
Safyral
Salagen
Salex Shampoo
Salkera Foam
Samsca
Sandimmune
Sarafem
Savaysa
Savella
Saw Palmetto
Scot-Tussin
Scot-Tussin DM
Seasonique
Seconal Sodium
Sectral
Segluromet
Select-OB
SelRx Shampoo
Selzentry
Semprex-D
Se-Natal 19
Senexon
Senexon-S
Senna Lax
Senna Plus
Sennalax-S
Senna-Time S
Senokot
Senokot
SenokotXTRA
Sensipar
Serophene
Seroquel
Seroquel XR
Se-Tan Plus
Setlakin
Seysara
SF Gel
Sharobel
Siklos
Silenor
Siltussin SA
Simply Sleep
Sinemet 10-100
Sinemet CR
Singulair
Sirturo
Sitzmarks
Sivextro
Skelaxin
Sleep Aid
Slo-Niacin
Slow Fe
Slow Release Iron
Slow-Mag
Solodyn
Solosec
Soltamox
Soma
Sonata
Soolantra Cream
Soothe
Soriatane
Sorine
Sotylize
Sovaldi
Span C
Spectracef
Sporanox
Sprintec
Spritam
Sprycel
SPS
Sronyx
SSD Cream
SSKI
St. John's wort
Stahist
Stahist AD
Stalevo 100
Stalevo 125
Stalevo 150
Stalevo 200
Stalevo 50
Stalevo 75
Starlix
Staxyn
Stay Awake
Steglatro
Steglujan
Stendra
Sterile Water for Injection
Stivarga
Strattera
Stribild
Stromectol
Strovite One
Stuart One
Subvenite
Sucraid
Sudafed
Sudafed PE
Sudafed PE Pressure+Pain+Cold
Sudafed PE Pressure+Pain+Cough
Sudogest PE
SudoGest Sinus & Allergy
Sular
Sulfamylon Cream
Sulfatrim
Suphedrin
Suphedrine
Suprax
Suprep
Supress A
Supress-PE
Surfak
Surmontil
Sustiva
Sutent
Syeda
Symax Duotab
Symax-SR
Symbyax
Symfi
Symfi Lo
Sympazan
Symproic
Symtuza
Synalgos-DC
Syndros
Synjardy
Synjardy XR
Synthroid
Synvexia TC Cream
Syprine
Tabloid
Tactinal
Tafinlar
Tagamet HB
Tagrisso
Take Action
Taliva
Talzenna
Tamiflu
Tandem Plus
Tapazole
Tarceva
Targretin
Targretin Gel
Tarka
Taron Forte
Tasigna
Tasmar
Tavalisse
Taytulla
Tazorac Gel
Taztia XT
Tecfidera
Technivie
Tegretol XR
Tekturna
Tekturna HCT
Temodar
Tencon
Tenex
Tenoretic 100
Tenoretic 50
Tenormin
Tersi Foam
Testred
Thalomid
Theo-24
Theramill Forte
Thera-Tabs
Thera-Tabs M
Thermotabs
Thiola
Thyrolar-1
Thyrolar-1/2
Thyrolar-1/4
Thyrolar-2
Thyrolar-3
ThyroSafe
Tiazac
Tibsovo
Tigan
Tiglutik
Tikosyn
Tilia Fe
Tindamax
Tirosint
Tirosint-Sol
Tivicay
Tivorbex
TL Icon
Tofranil
Tolak Cream
Tolsura
Topamax
Topicort Ointment
Toprol XL
Toviaz
Tozal
Tracleer
Tradjenta
Tranxene T-Tab
Tranzarel Gel
Travel Sickness
Trecator
Trexall
Trexbrom
Treximet
Trezix
Tri Femynor
Trianex Ointment
Tribenzor
TriCare Prenatal
Tricitrates
Tricon
Tricor
Tri-Estarylla
Triglide
Triklo
Tri-Legest Fe
Trileptal
Tri-Linyah
Trilipix
Tri-Lo-Estarylla
Tri-Lo-Marzia
Tri-Lo-Sprintec
Tri-Mili
TriNessa
TriNessa Lo
Tri-Norinyl
Trintellix
Triple Antibiotic Ointment
Tri-Previfem
Tri-Sprintec
TriStart DHA
Triumeq
Tri-Vi-Sol
Tri-Vita
Tri-VyLibra
Tri-VyLibra Lo
Trizivir
Trokendi XR
Trulance
Truvada
Tulana
Tums
Tums Smoothies
Tusicof
Tusnel
Tusnel Pediatric Drops
TussiCaps
Tussigon
Tussin
Tussin CF
Tussin DM
Tussionex
Tuxarin ER
Tuzistra XR
Twynsta
Tybost
Tydemy
Tykerb
Tylenol
Tylenol Cold & Flu Severe
Tylophen
Uceris
Uloric
Ultra Lubricant Eye Drops
Ultracet
Ultram
Unisom
Unisom SleepMelts
Unithroid
Uptravi
UR N-C
Uramaxin Lotion
Urecholine
Urelle
Urevaz Cream
Uribel
Urinary Pain Relief
Uristat
Uro-458
UroAv-B
Urocit-K
Urogesic-Blue
Uro-MP
Uroxatral
Ustell
UTA
Utira-C
Utopic Cream
Valchlor Gel
Valcyte
Valium
Valtrex
Valu-Dryl
Vanacof
Vanacof DM
Vanacof-8
Vanahist PD
Vanamine PD
Vanatol LQ
Vanatol S
Vaniqa Cream
Vanquish
Varibar Honey
Varibar Nectar
Varibar Pudding
Varibar Thin Honey
Varubi
Vascazen
Vascepa
Vasculera
Vaseretic
Vasoflex HD
Vasotec
Vayarin
Vayarol
Vecamyl
Velivet
Velphoro
Veltin Gel
Vemlidy
Venclexta
Venclexta Starting Pack
Venelex Ointment
Verelan
Verelan PM
Veripred 20
Versacloz
Verzenio
Vestura
Vfend
Viactiv
Viagra
Viberzi
Vibramycin
Vicodin
Vicodin ES
Vicodin HP
Videx
Videx EC
Viekira Pak
Viekira XR
Vienva
Viibryd
Vilamit MB
Vilevev MB
Vimovo
Vimpat
Viokace
Viorele
Viracept
Viramune
Viramune XR
Viread
Virt-Advance
Virt-C DHA
Virt-Caps
Virt-FeFA Plus
Virt-Gard
Virt-PN
Virt-PN DHA
Virt-PN Plus
VirtPrex
Virtrate-2
Virtrate-3
Virtussin DAC
Virt-Vite
Virt-Vite Forte
Virt-Vite GT
Virt-Vite Plus
Vistaril
Vistogard
Vitafol
Vitafol Ultra
Vitafol-OB
Vitafol-OB+DHA
Vital-D Rx
Vitalets
Vitamin D2
Vitamin D3
Vita-Respa
Vitekta
Vitrakvi
Vitron-C
Vituz
Vivarin
Vivlodex
Vivotif
Vizimpro
Vol-Tab Rx
Voltaren Gel
Voltaren-XR
Vosevi
Votrient
VP-CH-PNV
VP-GGR-B6
VP-Heme OB
VP-HEME One
VP-PNV-DHA
Vraylar
VSL#3
Vyfemla
VyLibra
Vytorin
Vyvanse
Wal-itin
Wal-Zyr D
Wee Care
Wellbutrin SR
Wellbutrin XL
Wera
Westhroid
WP Thyroid
Xadago
Xalkori
Xanax
Xanax XR
XaQuil XR
Xarelto
Xatmep
Xeljanz
Xeljanz XR
Xeloda
Xenazine
Xenical
Xepi Cream
Xerese Cream
Xermelo
Xifaxan
Xigduo XR
Ximino
Xofluza
Xospata
Xtampza ER
Xtandi
Xuriden
Xyrem
Xyzal
Yasmin 28
Yelets
Yohimbe
Yonsa
Yosprala
Zamicet
Zanaflex
Zantac
Zarah
Zarontin
Zatean-CH
Zavesca
Zebeta
Zebutal
Zegerid
Zegerid OTC
Zejula
Zelapar
Zelboraf
Zemplar
Zenatane
Zenpep
Zenzedi
Zepatier
Zephrex-D
Zerit
Zestoretic
Zestril
Zetia
Ziac
Ziagen
Zinc
Zinc Chelated
Zinc-220
Zingiber
Zipsor
Zithranol Shampoo
Zithromax
Zmax
Zocor
ZoDex
Zodryl DAC 25
Zofran
Zofran ODT
Zohydro ER
Zoladex Implant
Zolinza
Zoloft
Zomig
Zonegran
Zontivity
Zoo Friends
Zoo Friends Gummies
Zortress
Zorvolex
Zovirax
Zovirax Cream
Zovirax Ointment
Zuplenz
Zurampic
Zutripro
Zyban
Zydelig
Zyflo
Zyflo CR
Zykadia
Zyloprim
Zyncof
